f8:5f:2a:5f:5c:a8,-83
00:27:0d:2d:dd:c0,-53
00:27:0d:2d:dd:c1,-47
00:27:0d:2d:d0:71,-70
00:1d:7e:fc:31:06,-63
00:27:0d:2d:d0:70,-70
0e:b6:24:9f:49:f2,-83
00:22:55:df:65:11,-80
00:22:55:df:65:10,-80
10:6f:3f:f7:37:c8,-81
a0:cf:5b:ca:a9:01,-88
a0:cf:5b:ca:a9:00,-81
22:2f:6b:6a:86:50,-84
00:27:0d:08:bf:11,-89
00:22:55:75:44:91,-92
00:27:0d:08:be:81,-86
30:85:a9:6c:9b:e2,-91
00:22:55:75:44:90,-92
00:22:55:df:64:d0,-84
00:27:0d:2d:dd:c0,-72
00:27:0d:2d:dd:c1,-75
00:27:0d:2d:d0:71,-51
00:1d:7e:fc:31:06,-56
00:27:0d:2d:d0:70,-55
0e:b6:24:9f:49:f2,-80
00:22:55:df:65:11,-91
10:6f:3f:f7:37:c8,-81
a0:cf:5b:ca:a9:01,-81
22:2f:6b:6a:86:50,-69
00:27:0d:08:bf:11,-91
00:27:0d:08:be:81,-81
30:85:a9:6c:9b:e2,-88
00:22:55:75:44:90,-87
00:22:55:df:64:d0,-81
00:22:55:75:48:a1,-81
08:1f:f3:b2:d0:a1,-85
00:27:0d:08:be:80,-77
10:9a:dd:8c:a6:af,-81
24:01:c7:77:f9:40,-92
00:27:0d:2d:dd:c0,-69
00:27:0d:2d:dd:c1,-67
00:27:0d:2d:d0:71,-62
00:1d:7e:fc:31:06,-57
00:27:0d:2d:d0:70,-53
0e:b6:24:9f:49:f2,-82
00:22:55:df:65:11,-91
10:6f:3f:f7:37:c8,-74
a0:cf:5b:ca:a9:01,-79
22:2f:6b:6a:86:50,-69
00:27:0d:08:bf:11,-86
00:27:0d:08:be:81,-75
30:85:a9:6c:9b:e2,-88
00:22:55:75:44:90,-87
00:22:55:df:64:d0,-81
00:22:55:75:48:a1,-81
08:1f:f3:b2:d0:a1,-85
00:27:0d:08:be:80,-79
10:9a:dd:8c:a6:af,-87
24:01:c7:77:f9:40,-91
00:22:55:df:64:d1,-83
00:22:55:75:44:91,-86
00:27:0d:08:bf:10,-85
00:27:0d:2d:dd:c0,-75
00:27:0d:2d:dd:c1,-68
00:27:0d:2d:d0:71,-53
00:1d:7e:fc:31:06,-60
00:27:0d:2d:d0:70,-52
0e:b6:24:9f:49:f2,-79
00:22:55:df:65:11,-91
10:6f:3f:f7:37:c8,-69
a0:cf:5b:ca:a9:01,-79
22:2f:6b:6a:86:50,-66
00:27:0d:08:bf:11,-86
00:27:0d:08:be:81,-87
30:85:a9:6c:9b:e2,-88
00:22:55:75:44:90,-87
00:22:55:df:64:d0,-81
00:22:55:75:48:a1,-81
08:1f:f3:b2:d0:a1,-85
00:27:0d:08:be:80,-77
10:9a:dd:8c:a6:af,-85
24:01:c7:77:f9:40,-91
00:22:55:df:64:d1,-85
00:22:55:75:44:91,-86
00:27:0d:08:bf:10,-89
24:01:c7:77:f9:41,-85
08:1f:f3:e0:1a:40,-83
a0:cf:5b:ca:a9:00,-86
00:22:55:df:65:10,-92
00:27:0d:2d:dd:c0,-74
00:27:0d:2d:dd:c1,-72
00:27:0d:2d:d0:71,-62
00:1d:7e:fc:31:06,-62
00:27:0d:2d:d0:70,-59
0e:b6:24:9f:49:f2,-83
00:22:55:df:65:11,-88
10:6f:3f:f7:37:c8,-75
a0:cf:5b:ca:a9:01,-81
22:2f:6b:6a:86:50,-66
00:27:0d:08:bf:11,-86
00:27:0d:08:be:81,-70
30:85:a9:6c:9b:e2,-86
00:22:55:75:44:90,-87
00:22:55:df:64:d0,-81
00:22:55:75:48:a1,-81
08:1f:f3:b2:d0:a1,-85
00:27:0d:08:be:80,-72
10:9a:dd:8c:a6:af,-85
24:01:c7:77:f9:40,-91
00:22:55:df:64:d1,-85
00:22:55:75:44:91,-90
00:27:0d:08:bf:10,-89
24:01:c7:77:f9:41,-85
08:1f:f3:e0:1a:40,-83
a0:cf:5b:ca:a9:00,-80
00:22:55:df:65:10,-92
00:27:0d:2d:dd:c0,-69
00:27:0d:2d:dd:c1,-76
00:27:0d:2d:d0:71,-50
00:1d:7e:fc:31:06,-66
00:27:0d:2d:d0:70,-55
0e:b6:24:9f:49:f2,-78
00:22:55:df:65:11,-88
10:6f:3f:f7:37:c8,-74
a0:cf:5b:ca:a9:01,-83
22:2f:6b:6a:86:50,-66
00:27:0d:08:bf:11,-91
00:27:0d:08:be:81,-76
30:85:a9:6c:9b:e2,-90
00:22:55:75:44:90,-87
00:22:55:df:64:d0,-82
00:27:0d:08:be:80,-78
10:9a:dd:8c:a6:af,-85
24:01:c7:77:f9:40,-91
00:22:55:df:64:d1,-85
00:22:55:75:44:91,-90
00:27:0d:08:bf:10,-89
24:01:c7:77:f9:41,-85
08:1f:f3:e0:1a:40,-83
a0:cf:5b:ca:a9:00,-80
00:22:55:df:65:10,-92
00:27:0d:2d:dd:c0,-73
00:27:0d:2d:dd:c1,-78
00:27:0d:2d:d0:71,-66
00:1d:7e:fc:31:06,-57
00:27:0d:2d:d0:70,-57
